Central Chsd 71 School District,http://www.centralcougars.org/
Central City School District 133,NA
Central Community Unit School District 3,NA
Central Community Unit School District 301,NA
Central Community Unit School District 4,NA
Central Consolidated School District 146,NA
Central Consolidated School District 168,NA
Central Consolidated School District 180,NA
Central Consolidated School District 204,NA
Central Consolidated School District 89,NA
Central Consolidated School District 93,NA
Central School District 104,http://www.central104.org/
Central School District 51,NA
Central Stickney School District 110,NA
Centralia Hsd 200 School District,NA
Centralia School District 135,NA
Century Community Unit School District 100,NA
Cerro Gordo Community Unit School District 100,NA
Chadwick-Milledgeville Community Unit School District 399,NA
Champaign Community Unit School District 4,NA
Champaign Ford Regional Office Of Education,NA
Chaney-Monge School District 88,NA
Channahon School District 17,NA
Charleston Community Unit School District 1,NA
Chester Community Unit School District 139,NA
Chester-East Lincoln Central Consolidated School District 61,NA
Chicago Heights School District 170,NA
Chicago Lighthouse Chtr Sch,NA
Chicago Ridge School District 127-5,NA
Christopher Community Unit School District 99,NA
Chsd 117 School District,http://www.d117.org/
Chsd 128 School District,http://www.district128.org/
Chsd 155 School District,http://www.d155.org/
Chsd 218 School District,NA
Chsd 94 School District,NA
Chsd 99 School District,NA
Cicero School District 99,NA
Cissna Park Community Unit School District 6,NA
City Of Chicago School District 299,http://www.cps.edu/
Clay City Community Unit School District 10,NA
Clay Cwford Jsper Lwrnce Rhland School District,NA
Clinton Community Unit School District 15,NA
Clinton Marion Washington Regional Office Of Education,NA
Clk Cls Cmbn Dglas Edgr Mltr Shlb School District,NA
Coal City Community Unit School District 1,NA
Cobden Sud 17 School District,NA
Collinsville Community Unit School District 10,http://www.kahoks.org/
Colona School District 190,NA
Columbia Community Unit School District 4,http://www.chseagles.com/chseagles/site/default.asp
Comm Cons School District 59,http://www.ccsd59.org/
Community Consolidated School District 62,http://www.d62.org/
Community Unit School District 200,http://www.cusd200.org/
Community Unit School District 201,NA
Community Unit School District 3 Fulton County,NA
Community Unit School District 300,http://www.d300.org/
Community Unit School District 303,http://district.d303.org/
Community Unit School District 4,NA
Cons Hsd 230 School District,NA
Cook County School District 130,NA
Cooperative Assoc For Special Education,NA
Cornell Central Consolidated School District 426,NA
Coulterville Community Unit School District 1,NA
Country Club Hills School District 160,NA
County Of Union  School District  No43,NA
County Of Winnebago School District 320,NA
County Of Woodford School,NA
Cowden-Herrick Community Unit School District 3a,NA
Crab Orchard Community Unit School District 3,NA
Crescent Iroquois Community Unit School District 249,NA
Creston Central Consolidated School District 161,NA
Crete Monee Community Unit School District 201u,http://www.cm201u.org
Creve Coeur School District 76,NA
Crystal Lake Central Consolidated School District 47,http://www.d47.org/
Cumberland Community Unit School District 77,NA
Cypress School District 64,NA
Dakota Community Unit School District 201,NA
Dallas Esd 327 School District,NA
Dalzell School District 98,NA
Damiansville School District 62,http://www.damiansvilleelem.com/
Danville Central Consolidated School District 118,NA
Darien School District 61,NA
De Kalb Regional Office Of Education,NA
De Witt Livingston Mclean Regional Office Of Education,NA
Decatur School District 61,NA
Deer Creek-Mackinaw Community Unit School District 701,NA
Deer Park Central Consolidated School District 82,NA
Deerfield School District 109,http://www.dps109.org/
Dekalb Community Unit School District 428,NA
Deland-Weldon Community Unit School District 57,NA
Delavan Community Unit School District 703,NA
Dept Of Human Services,NA
Depue Community Unit School District 103,NA
Desoto Cons School District 86,NA
Diamond Lake School District 76,http://www.d76.lake.k12.il.us/
Dieterich Community Unit School District 30,NA
Dimmick Central Consolidated School District 175,NA
District 50 Schools,NA
Dixon Community Unit School District 170,NA
Dodds Central Consolidated School District 7,NA
Dolton School District 148,NA
Dolton School District 149,NA
Dongola Community Unit School District 66,NA
Donovan Community Unit School District 3,NA
Downers Grove Gsd 58 School District,NA
Dunlap Community Unit School District 323,NA
Dupage Hsd 88 School District,NA
Dupage Regional Office Of Education,http://www.dupage.k12.il.us/
Dupo Community Unit School District 196,http://www.dupo196.org/
Duquoin Community Unit School District 300,NA
Durand Community Unit School District 322,NA
Dwight Common School District 232,NA
Dwight Twp Hsd 230 School District,NA
Earlville Community Unit School District 9,NA
East Alton School District 13,http://www.easd13.org/
East Alton-Wood River Chsd 14 School District,http://www.eawr.madison.k12.il.us/
East Coloma - Nelson Cesd 20 School District,NA
East Dubuque Community Unit School District 119,NA
East Maine School District 63,http://www.emsd63.org/
East Moline School District 37,http://www.emsd37.org/
East Peoria Chsd 309 School District,NA
East Peoria School District 86,NA
East Prairie School District 73,NA
East Richland Community Unit School District 1,NA
East St Louis School District 189,http://www.estlps189.net/
Eastern Il Area Of Special Education,NA
Eastland Community Unit School District 308,NA
Edgar County Community Unit School District 6,NA
Edinburg Community Unit School District 4,NA
