"","State","PCT Missing URL"
"1","Alabama",0.152866242038217
"2","Alaska",0
"3","Arizona",0.423023578363384
"4","Arkansas",0.0481099656357388
"5","California",0.194165907019143
"6","Colorado",0.146739130434783
"7","Connecticut",0.2
"8","Delaware",0.0638297872340425
"9","Florida",0
"10","Georgia",0.0721153846153846
"11","Hawaii",0
"12","Idaho",0.89937106918239
"13","Illinois",0.772821576763486
"14","Indiana",0.00495049504950495
"15","Iowa",0.0353982300884956
"16","Kansas",0.0274914089347079
"17","Kentucky",0.937853107344633
"18","Louisiana",0.493150684931507
"19","Maine",0.280898876404494
"20","Maryland",0
"21","Massachusetts",0.0222772277227723
"22","Michigan",0.072142064372919
"23","Minnesota",0.0899280575539568
"24","Mississippi",0.0532544378698225
"25","Missouri",0.0318021201413428
"26","Montana",0.483091787439614
"27","Nebraska",0.996466431095406
"28","Nevada",0.238095238095238
"29","New Hampshire",0.848167539267016
"30","New Jersey",0.00295420974889217
"31","New Mexico",0.628140703517588
"32","New York",0.975376196990424
"33","North Carolina",0.0198019801980198
"34","North Dakota",0.170731707317073
"35","Ohio",0.0573372206025267
"36","Oklahoma",0.04
"37","Oregon",0.0248756218905473
"38","Pennsylvania",0.0655307994757536
"39","Rhode Island",0.916666666666667
"40","South Carolina",0.111111111111111
"41","South Dakota",0.128342245989305
"42","Tennessee",0.916083916083916
"43","Texas",0.0489626556016598
"44","Utah",0.114457831325301
"45","Vermont",0.747747747747748
"46","Virginia",0.279816513761468
"47","Washington",0.0785498489425982
"48","West Virginia",0.947368421052632
"49","Wisconsin",0.0132743362831858
"50","Wyoming",0.0833333333333333
